country,year,rgdpo,rkna,labsh,pl_i,pl_gdpo,pop
Albania,1980,10552.2646484375,27553.30078125,NA,0.5700749758370787,0.22057287395000458,2.681245
Albania,1993,12253.4716796875,43252.57421875,NA,0.4475464529136422,0.150212362408638,3.1896229999999997
Albania,1994,13723.4189453125,43783.6640625,NA,0.4187917215844158,0.14735440909862518,3.140634
Albania,2005,19110.421875,71194.0390625,NA,0.5488370843435213,0.4251728057861328,3.082172
Albania,1991,11796.779296875,44580.796875,NA,0.5395510298293238,0.14510473608970642,3.275438
Albania,1988,12197.375,42041.65625,NA,0.5594555380305117,0.21901395916938782,3.1970639999999997
Albania,1992,10727.8798828125,43470.6328125,NA,0.5108116375680927,0.15389886498451233,3.2406129999999997
Albania,1990,12953.4765625,45670.609375,NA,0.528834496530828,0.17718937993049622,3.281453
Albania,1987,12453.25390625,40397.88671875,NA,0.52871600574591,0.20761016011238098,3.121336
Albania,2001,16868.884765625,54423.875,NA,0.4087838370618911,0.2468639314174652,3.124093
Albania,1995,14835.130859375,44486.87109375,NA,0.576072981307468,0.17241206765174866,3.106727
Albania,2004,18018.326171875,66573.421875,NA,0.5353941381012841,0.40417349338531494,3.103758
Albania,1981,10921.9501953125,29234.75,NA,0.5307616962317889,0.2204335778951645,2.7353289999999997
Albania,2000,16415.7890625,51001.2109375,NA,0.37210035206314873,0.2276645004749298,3.121965
Albania,1985,11610.2255859375,36890.703125,NA,0.5589841736222564,0.2167569249868393,2.966799
Albania,2003,17371.5,62267.1015625,NA,0.48106405180660344,0.3287278711795807,3.117045
Albania,2006,20541.271484375,76644.90625,NA,0.510906284194639,0.4329366087913513,3.050741
Albania,2002,16754.833984375,57918.69921875,NA,0.42634454217816986,0.2691860496997833,3.123112
Albania,1986,12164.2255859375,38651.3515625,NA,0.5258825642422641,0.21365755796432495,3.041003
Albania,1989,13172.1171875,43886.55078125,NA,0.6223623988373376,0.2418988198041916,3.253659
Albania,1997,14202.0478515625,46187,NA,0.2765343269520447,0.1681777536869049,3.0924709999999997
Albania,1983,11347.642578125,33204.7890625,NA,0.5398491896832379,0.2204430252313614,2.8426199999999997
Albania,1998,13965.5048828125,47032.13671875,NA,0.3129438239213606,0.1992819458246231,3.1028979999999997
Albania,1999,15998.4560546875,48498.4453125,NA,0.3478893603036107,0.2186852991580963,3.114851
Albania,1982,10948.6923828125,31248.23828125,NA,0.5258802962981365,0.22591783106327057,2.788315
Albania,2007,21887.41796875,82455.7734375,NA,0.5450437201876615,0.4800272583961487,3.010849
Albania,1996,17523.0390625,45584.06640625,NA,0.3951711264075192,0.19452229142189026,3.092034
Albania,1984,11512.7119140625,35228.0859375,NA,0.5513945678462061,0.21515771746635437,2.9015899999999997
Algeria,1994,197718.84375,938963.1875,NA,0.20344420433122581,0.21930153667926788,28.362015
Algeria,1993,196900.21875,932429.25,NA,0.22154402360348327,0.26158076524734497,27.785977
Algeria,1988,194710.625,866277.0625,NA,0.19216776924330423,0.30102747678756714,24.591493
Algeria,2003,288485.3125,1041887.625,NA,0.2359818390213948,0.23382528126239777,32.394886
Algeria,1992,206071.046875,925622.5625,NA,0.21296265957008095,0.23523704707622528,27.180920999999998
Algeria,1995,207264.703125,946298,NA,0.20646685216912403,0.209821879863739,28.9043
Algeria,1991,208132.890625,916102.1875,NA,0.19392446770007335,0.23528620600700378,26.554277
Algeria,2002,263696.09375,1021241.125,NA,0.20723934335433686,0.21286365389823914,31.990387
Algeria,1997,211664.796875,960640.8125,NA,0.1957429291703652,0.237564817070961,29.887717
Algeria,1990,213110.5625,906787.0625,NA,0.2208712061818174,0.2960425913333893,25.912364
Algeria,2006,384977.6875,1132956.25,NA,0.335685492292832,0.302011102437973,33.749328
Algeria,2007,399783.125,1173896.25,NA,0.4106329097302188,0.3374653160572052,34.261970999999996
Algeria,1982,230987.21875,671617.375,NA,0.1552055972232551,0.19271598756313324,20.575701
Algeria,2004,304038.03125,1067697.375,NA,0.3029142310481257,0.2761547565460205,32.817225
Algeria,1987,215471.0625,848180.5625,NA,0.2403636681380347,0.29768192768096924,23.917889
Algeria,1989,201886.734375,887294.25,NA,0.19049068373218034,0.2760322690010071,25.257671
Algeria,1984,253777.640625,752067.6875,NA,0.16340056367697753,0.21067732572555542,21.893857
Algeria,1986,232498.8125,827164.125,NA,0.20871246328685608,0.2700164020061493,23.241276
Algeria,2000,254360.171875,988723.125,NA,0.17845386354847736,0.21599692106246948,31.183657999999998
Algeria,2005,348773.3125,1098643.375,NA,0.324063995260298,0.2902181148529053,33.267887
Algeria,1996,218473.671875,954044.625,NA,0.1956922874405878,0.22496554255485535,29.411838999999997
Algeria,1998,219699.671875,968359.4375,NA,0.19310656365747414,0.22688716650009155,30.336879999999997
Algeria,2001,255590.390625,1002716.3125,NA,0.1964324113264828,0.2171517014503479,31.59032
Algeria,1981,221430.546875,633497.4375,NA,0.1553219885343446,0.19501648843288422,19.943666999999998
Algeria,1980,202353.25,595064.3125,NA,0.16931759819136175,0.20342907309532166,19.337723
Algeria,1985,263964.125,792879.875,NA,0.16240697892674358,0.2176893651485443,22.565908
Algeria,1983,243490.8125,711355.3125,NA,0.16405528560164045,0.20029078423976898,21.228288
Algeria,1999,227628.328125,976991.75,NA,0.19143390506673774,0.2181919813156128,30.766551
Angola,2000,30508.326171875,437605.125,NA,0.12325377689525047,0.36571672558784485,15.058638
Angola,1999,34551.40234375,442680.03125,NA,0.11185625199116145,0.2260262668132782,14.601982999999999
Angola,2007,106633.8515625,496656.71875,NA,0.6528554233881391,0.6000156402587891,19.183906999999998
